20	14	5	5	3	0	0	19	0	0	0	2	0
19	9	4	4	2	4	1	9	0	0	0	3	1
18	8	1	3	0	1	0	9	2	0	0	1	0
17	10	3	3	2	0	0	9	1	0	0	1	0
16	9	2	2	2	4	0	5	3	1	0	2	0
15	10	0	1	1	1	0	7	0	0	0	0	0
14	20	2	0	5	0	0	12	0	0	0	1	1
13	19	3	2	2	1	0	15	0	0	0	0	1
12	17	4	3	1	0	0	10	0	0	0	0	0
11	19	4	1	3	1	2	15	2	1	0	0	0
10	15	5	2	2	0	1	12	0	0	0	2	1
9	21	2	3	1	0	1	11	0	0	0	1	1
8	12	3	4	6	0	0	15	0	0	0	2	0
7	25	2	2	2	1	0	8	1	0	0	1	1
6	9	0	1	0	1	0	5	1	0	0	0	0
5	17	0	1	3	1	0	6	0	0	0	0	0
4	19	6	3	4	1	0	12	1	0	0	3	1
3	15	2	1	2	1	0	7	1	0	0	0	0
2	9	1	1	0	3	0	9	1	1	1	1	1
1	10	3	0	4	0	0	10	1	0	0	0	0
